Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6413af719acd4baadc4d868b,616597ecca6e8d930673b1e4,APPROVED,2023-03-17T00:08:17.198000Z,2023-03-17T00:35:31.105000Z,2023-03-28T06:14:27.081000,2023-03-17T00:35:31.481048Z,1634,C4F2Q1F2,218,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6413af805142efc192c16dc1,60ca0d6c6d0453b59e6aeb60,APPROVED,2023-03-17T00:08:50.617000Z,2023-03-17T00:38:56.733000Z,2023-03-28T06:14:44.549000,2023-03-17T00:38:57.120463Z,1807,C4F2Q1F2,51,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
6413afa856cae8622641ba7f,5f591a1be30bf81170acf5b9,APPROVED,2023-03-17T00:09:12.648000Z,2023-03-17T00:47:29.966000Z,2023-03-28T06:14:44.752000,2023-03-17T00:47:30.333449Z,2298,C4F2Q1F2,122,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6413afc0caacf02fc541ba6b,6063f65c58167d6efa46e430,APPROVED,2023-03-17T00:09:36.436000Z,2023-03-17T00:37:01.893000Z,2023-03-28T06:14:44.953000,2023-03-17T00:37:02.290824Z,1646,C4F2Q1F2,219,30,Male,Other,Chile,Chile,Chile,Spanish,No,Full-Time
6413bcf9650297d98f56e22e,5f37cdaeb05fd82674157052,APPROVED,2023-03-17T01:06:01.020000Z,2023-03-17T01:37:45.121000Z,2023-03-28T06:14:45.171000,2023-03-17T01:37:45.510948Z,1905,C4F2Q1F2,349,29,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Full-Time
6413bcfb248ea21da7f82ca4,62d18a8949920240954954c4,APPROVED,2023-03-17T01:06:11.760000Z,2023-03-17T01:33:24.770000Z,2023-03-28T06:14:45.389000,2023-03-17T01:33:25.150039Z,1634,C4F2Q1F2,285,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6413bcfb35d876e7f2190e15,5ee78cdd0103130133fdb204,APPROVED,2023-03-17T01:06:03.265000Z,2023-03-17T01:34:46.919000Z,2023-03-28T06:14:45.614000,2023-03-17T01:34:47.267589Z,1724,C4F2Q1F2,548,26,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
6413bcfb35d876e7f2190e16,5ab041e6f69e940001d893a1,APPROVED,2023-03-17T01:06:03.545000Z,2023-03-17T01:48:53.422000Z,2023-03-28T06:14:45.824000,2023-03-17T01:48:53.826526Z,2570,C4F2Q1F2,630,33,Male,Asian,Philippines,Canada,Philippines,English,No,Full-Time
6413bcfbf3dedcfef156e237,5ee43a8e2ec5ba13df088f5e,APPROVED,2023-03-17T01:06:03.047000Z,2023-03-17T02:05:17.578000Z,2023-03-28T06:14:46.051000,2023-03-17T02:05:18.434644Z,3555,C4F2Q1F2,481,45,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6413bcfc298b13c632348cf0,5d0ba121619661001a7f4fe6,APPROVED,2023-03-17T01:06:04.151000Z,2023-03-17T01:41:14.271000Z,2023-03-28T06:14:46.262000,2023-03-17T01:41:14.631198Z,2111,C4F2Q1F2,212,28,Male,Mixed,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
6413bcfdf0980438da190e11,612cd2f05da3662ad2de5b36,APPROVED,2023-03-17T01:06:05.557000Z,2023-03-17T01:45:30.825000Z,2023-03-28T06:14:46.469000,2023-03-17T01:45:31.161583Z,2366,C4F2Q1F2,172,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6413bcfe19fe3df78469d4bc,5cabf58293e29a0016018c30,APPROVED,2023-03-17T01:06:06.965000Z,2023-03-17T01:30:26.032000Z,2023-03-28T06:14:46.678000,2023-03-17T01:30:26.462982Z,1460,C4F2Q1F2,551,35,Male,White,Russian Federation,Spain,Spain,Russian,No,Part-Time
6413bcfe650297d98f56e230,612baf782021c0c7f677ece6,APPROVED,2023-03-17T01:06:06.234000Z,2023-03-17T01:44:50.888000Z,2023-03-28T06:14:46.892000,2023-03-17T01:44:51.685451Z,2325,C4F2Q1F2,216,19,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Part-Time
6413bcff03ff8580b32e0545,5a0c036857cee70001767a58,APPROVED,2023-03-17T01:06:07.189000Z,2023-03-17T01:35:33.193000Z,2023-03-28T06:14:47.112000,2023-03-17T01:35:33.591477Z,1767,C4F2Q1F2,1916,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6413bcff7c0e024551c8a25e,5ccc758ab11510001584a1af,APPROVED,2023-03-17T01:06:46.956000Z,2023-03-17T01:33:19.466000Z,2023-03-28T06:14:47.333000,2023-03-17T01:33:19.854826Z,1593,C4F2Q1F2,411,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6413bcff80896c620a778112,611ed2c05be8517aa0d6076b,APPROVED,2023-03-17T01:06:07.868000Z,2023-03-17T02:03:15.434000Z,2023-03-28T06:14:47.535000,2023-03-17T02:03:15.806681Z,3428,C4F2Q1F2,345,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413bd002f6697a6242820f3,5cef10a91234ed000197070a,APPROVED,2023-03-17T01:06:08.811000Z,2023-03-17T01:37:35.155000Z,2023-03-28T06:14:47.741000,2023-03-17T01:37:35.554275Z,1887,C4F2Q1F2,167,33,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,No,Full-Time
6413bd00f3dedcfef156e23a,609e5ee2411558f6ee4cc7d7,APPROVED,2023-03-17T01:06:08.456000Z,2023-03-17T01:49:09.099000Z,2023-03-28T06:14:47.950000,2023-03-17T01:49:09.448216Z,2581,C4F2Q1F2,182,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
6413bd010771bf0a0e198010,608358e1207f8ace90267025,APPROVED,2023-03-17T01:06:08.997000Z,2023-03-17T01:41:02.888000Z,2023-03-28T06:14:48.159000,2023-03-17T01:41:03.246948Z,2094,C4F2Q1F2,241,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6413bd01a706c809852e0583,5ecef11b1ed62917125bb673,APPROVED,2023-03-17T01:06:09.260000Z,2023-03-17T01:40:12.453000Z,2023-03-28T06:14:48.358000,2023-03-17T01:40:12.816280Z,2044,C4F2Q1F2,533,22,Male,White,Spain,Spain,Spain,Spanish,No,DATA_EXPIRED
6413bd02978eae7670c4bac3,5eee89a6c00bfb337a3c54a8,APPROVED,2023-03-17T01:06:52.985000Z,2023-03-17T01:39:01.365000Z,2023-03-28T06:14:48.571000,2023-03-17T01:39:01.769277Z,1929,C4F2Q1F2,418,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6413bd034a9c15efe7c16de7,5e6473fbc15dbe1f71eea95b,APPROVED,2023-03-17T01:06:11.818000Z,2023-03-17T01:44:08.352000Z,2023-03-28T06:14:48.779000,2023-03-17T01:44:08.816439Z,2277,C4F2Q1F2,1042,42,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413bd037c563b9607961ed2,5c48be0496d59b000183e68d,APPROVED,2023-03-17T01:06:40.302000Z,2023-03-17T02:10:12.316000Z,2023-03-28T06:14:49.002000,2023-03-17T02:10:12.707766Z,3813,C4F2Q1F2,495,45,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6413bd038e63d7190041ba95,5f6936a785575a12b74aa955,APPROVED,2023-03-17T01:06:11.631000Z,2023-03-17T01:59:06.698000Z,2023-03-28T06:14:49.242000,2023-03-17T01:59:40.999695Z,3176,C4F2Q1F2,128,27,Female,Mixed,Chile,Chile,Chile,Spanish,No,Unemployed (and job seeking)
6413bd041c4eb70e7ea301ca,5b6eba1aaf4af50001357228,APPROVED,2023-03-17T01:06:12.715000Z,2023-03-17T02:08:06.861000Z,2023-03-28T06:14:49.460000,2023-03-17T02:08:07.236158Z,3715,C4F2Q1F2,1257,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6413bd04a706c809852e0585,614d2250108917feb4ab9172,APPROVED,2023-03-17T01:06:12.082000Z,2023-03-17T01:36:17.394000Z,2023-03-28T06:14:49.685000,2023-03-17T01:36:17.854206Z,1806,C4F2Q1F2,163,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6413bd04df24e75ef3846028,5f733312e59fd2000a74b8cf,APPROVED,2023-03-17T01:06:12.281000Z,2023-03-17T01:40:57.793000Z,2023-03-28T06:14:49.906000,2023-03-17T01:40:58.249385Z,2086,C4F2Q1F2,167,28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED
6413bd14f9dea900d469d4e5,5d1e4a3ed4b9d60001ec8f1c,APPROVED,2023-03-17T01:06:30.900000Z,2023-03-17T01:46:54.979000Z,2023-03-28T06:14:50.121000,2023-03-17T01:46:55.295911Z,2425,C4F2Q1F2,751,46,Male,White,Kazakhstan,Israel,Israel,English,No,Full-Time
6413bf8c1593e318f82d3c12,5f4f9deca0830d07329e0efa,APPROVED,2023-03-17T01:17:04.933000Z,2023-03-17T01:54:10.953000Z,2023-03-28T06:14:50.336000,2023-03-17T01:54:11.384525Z,2227,C4F2Q1F2,441,32,Female,White,Estonia,Estonia,Estonia,Estonian,No,Unemployed (and job seeking)
