Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6477c5fcb42cde954799145e,601e1cae7d6414276e39e5db,APPROVED,2023-05-31T22:11:22.609000Z,2023-05-31T22:31:32.477000Z,2023-06-14T19:54:41.644000Z,2023-05-31T22:31:32.860753Z,1210.0,C4F2Q1F2,123,20,Female,Other,Mexico,Mexico,Mexico,Spanish,Yes,Other
6477c6349919a388f450cfdd,60aabc0e1d528011d925224c,APPROVED,2023-05-31T22:12:07.397000Z,2023-05-31T22:27:31.461000Z,2023-06-14T19:54:41.792000Z,2023-05-31T22:27:31.937934Z,925.0,C4F2Q1F2,268,28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6477c65fccbfa640a3904a9f,60678852ccd0cac430e96c2e,APPROVED,2023-05-31T22:12:47.843000Z,2023-05-31T22:41:29.536000Z,2023-06-14T19:54:41.925000Z,2023-05-31T22:41:29.933701Z,1722.0,C4F2Q1F2,150,39,Female,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Part-Time
6477c660347efc35b01bdbb9,61251b5edf23d6e24517e865,APPROVED,2023-05-31T22:13:23.316000Z,2023-05-31T22:34:43.514000Z,2023-06-14T19:54:42.061000Z,2023-05-31T22:34:43.903965Z,1281.0,C4F2Q1F2,70,21,Male,White,Italy,Italy,Italy,Italian,Yes,Other
6477c66965fd87af64666a77,6052978fd989c3a10f890c3a,APPROVED,2023-05-31T22:12:57.075000Z,2023-05-31T22:44:03.362000Z,2023-06-14T19:54:42.204000Z,2023-05-31T22:44:03.776032Z,1867.0,C4F2Q1F2,297,29,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
6477c66992dda3581e936855,5e89dda1762f3c66d9b9ca68,APPROVED,2023-05-31T22:12:57.424000Z,2023-05-31T22:32:38.643000Z,2023-06-14T19:54:42.339000Z,2023-05-31T22:32:39.063071Z,1182.0,C4F2Q1F2,218,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6477c67dce693004fd9e55e2,5ea96851a879f0059741c4cb,APPROVED,2023-05-31T22:13:17.666000Z,2023-05-31T22:28:44.617000Z,2023-06-14T19:54:42.474000Z,2023-05-31T22:28:45.028582Z,927.0,C4F2Q1F2,177,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6477c6abd31bce02e946f6d9,5d7059121e7fc80015e5cac4,APPROVED,2023-05-31T22:14:03.986000Z,2023-05-31T22:48:01.707000Z,2023-06-14T19:54:42.611000Z,2023-05-31T22:48:02.107624Z,2038.0,C4F2Q1F2,113,DATA_EXPIRED,Male,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6477c6b2d1ed27f33713f032,5cfe3b6e465a8c0015e3d452,APPROVED,2023-05-31T22:14:10.986000Z,2023-05-31T22:39:14.393000Z,2023-06-14T19:54:42.749000Z,2023-05-31T22:39:14.751184Z,1504.0,C4F2Q1F2,290,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6477c6b746f8e4a5c5045ad3,611eb04fc3fbfb6577e42d9d,APPROVED,2023-05-31T22:14:15.032000Z,2023-05-31T22:34:46.978000Z,2023-06-14T19:54:42.884000Z,2023-05-31T22:34:47.325993Z,1232.0,C4F2Q1F2,67,27,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
