Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667f0e9ef4ffefeb50a358b5,667ea46bc52ef1879aec2fbb,APPROVED,Not Applicable,2024-06-28T19:27:26.904000Z,2024-06-28T20:18:10.580000Z,2024-07-19T00:03:53.993000Z,2024-06-28T20:18:11.650959Z,3044.0,C4F2Q1F2,0,34,Female,White,Poland,Poland,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
667f0ec6f05603965b63fd87,667f0c5b3cba60d4040455b7,APPROVED,Not Applicable,2024-06-28T19:28:19.869000Z,2024-06-28T19:49:33.702000Z,2024-07-19T00:03:55.036000Z,2024-06-28T19:49:34.441819Z,1274.0,NOCODE,0,19,Female,Asian,China,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
667f0edc434674624216a5aa,662bb6c220a542059b9aa73e,APPROVED,Not Applicable,2024-06-28T19:28:45.877000Z,2024-06-28T19:50:00.606000Z,2024-07-19T00:03:56.140000Z,2024-06-28T19:50:01.253143Z,1275.0,C4F2Q1F2,22,20,Male,White,Croatia,Croatia,Croatia,Croatian,Yes,Unemployed (and job seeking)
667f0ede81d9bfef94f4cda7,5b7de72f1e7bc100011dc548,APPROVED,Not Applicable,2024-06-28T19:31:18.739000Z,2024-06-28T19:56:11.133000Z,2024-07-19T00:03:56.976000Z,2024-06-28T19:56:14.697656Z,1493.0,C4F2Q1F2,545,34,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
667f0ee99ca58c270024f186,667dd0361c0066b5aa7034b6,APPROVED,Not Applicable,2024-06-28T19:28:56.380000Z,2024-06-28T20:00:52.959000Z,2024-07-19T00:03:57.937000Z,2024-06-28T20:00:53.473708Z,1917.0,NOCODE,0,27,Male,White,Azerbaijan,Germany,Azerbaijan,Other,Yes,DATA_EXPIRED
667f0f0a6ddaa762074dcf76,5d366eba9749cc00185c21fb,APPROVED,Not Applicable,2024-06-28T19:29:14.888000Z,2024-06-28T20:16:10.931000Z,2024-07-19T00:03:58.714000Z,2024-06-28T20:17:21.377514Z,2817.0,C4F2Q1F2,328,28,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
667f0f21c4d90d09c2baeb6b,657042afb9f27a9caf7489aa,APPROVED,Not Applicable,2024-06-28T19:29:43.939000Z,2024-06-28T19:48:57.024000Z,2024-07-19T00:03:59.368000Z,2024-06-28T19:48:57.798012Z,1154.0,C4F2Q1F2,17,21,Male,Asian,Sweden,Sweden,Sweden,Swedish,Yes,DATA_EXPIRED
667f0f23175dc50c5415faa9,613f7e7bb3f0ae74dccd6a4e,APPROVED,Not Applicable,2024-06-28T19:29:48.998000Z,2024-06-28T19:48:28.203000Z,2024-07-19T00:04:00.475000Z,2024-06-28T19:48:28.813617Z,1120.0,NOCODE,151,26,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
667f0f25f48a020a1a4d72de,61084a60622c3e2c8f30d629,APPROVED,Not Applicable,2024-06-28T19:29:41.899000Z,2024-06-28T19:50:07.851000Z,2024-07-19T00:04:01.226000Z,2024-06-28T19:50:08.460593Z,1226.0,C4F2Q1F2,377,21,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
667f0f36d2d6ca7c401c3e25,60ef3fdfa3383b05abaa6b3b,APPROVED,Not Applicable,2024-06-28T19:30:03.899000Z,2024-06-28T19:51:48.100000Z,2024-07-19T00:04:02.042000Z,2024-06-28T19:54:40.282659Z,1305.0,NOCODE,35,26,Female,White,Canada,Canada,Canada,English,No,Full-Time
667f0f38ea10e6cc47f56c54,65c782176d36d598fc7234d0,APPROVED,Not Applicable,2024-06-28T19:30:13.100000Z,2024-06-28T20:05:30.628000Z,2024-07-19T00:04:02.856000Z,2024-06-28T20:07:18.763538Z,2118.0,C4F2Q1F2,9,26,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
667f0f3b41b5351ee339370f,6167088739fc87bf9028db4c,APPROVED,Not Applicable,2024-06-28T19:30:12.159000Z,2024-06-28T20:04:31.209000Z,2024-07-19T00:04:03.625000Z,2024-06-28T20:04:36.154556Z,2060.0,NOCODE,177,28,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
667f0f4424cedaaa651c77a0,5f07529227813a325372ddd7,APPROVED,Not Applicable,2024-06-28T19:30:40.332000Z,2024-06-28T19:58:59.393000Z,2024-07-19T00:04:04.444000Z,2024-06-28T19:59:00.130366Z,1700.0,C4F2Q1F2,446,41,Male,White,South Africa,South Africa,South Africa,Afrikaans,No,Other
667f0f49007b88899cced5fc,5bbcf0fc6b9c97000189f6bb,APPROVED,Not Applicable,2024-06-28T19:30:17.754000Z,2024-06-28T19:52:46.521000Z,2024-07-19T00:04:05.130000Z,2024-06-28T19:54:46.430851Z,1349.0,NOCODE,446,40,Male,White,Denmark,Denmark,Denmark,Danish,No,Full-Time
667f0f56e6ec218e8bd1f82e,660ff798634fa995811df422,APPROVED,Not Applicable,2024-06-28T19:30:45.943000Z,2024-06-28T19:52:23.873000Z,2024-07-19T00:04:05.959000Z,2024-06-28T19:54:44.459005Z,1298.0,C4F2Q1F2,9,53,Male,White,Canada,Canada,Canada,English,No,Full-Time
667f0f5a7bc3489533681cbe,665ced989c9267eb724e9508,APPROVED,Not Applicable,2024-06-28T19:30:44.834000Z,2024-06-28T19:54:22.801000Z,2024-07-19T00:04:06.704000Z,2024-06-28T19:54:58.082603Z,1418.0,665ced989c9267eb724e9508,1,35,Female,Other,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
667f0f5eaa78c20b4bb08761,667edb82323334be23cd7e4f,APPROVED,Not Applicable,2024-06-28T19:36:01.658000Z,2024-06-28T20:04:12.302000Z,2024-07-19T00:04:07.633000Z,2024-06-28T20:04:12.980994Z,1691.0,NOCODE,0,26,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
667f0f5fe6fa785cadced51d,5d2861fee6f19f001b2cfc94,APPROVED,Not Applicable,2024-06-28T19:30:45.975000Z,2024-06-28T20:15:20.036000Z,2024-07-19T00:04:08.612000Z,2024-06-28T20:17:08.041995Z,2675.0,C4F2Q1F2,673,57,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
667f0f6466a308edf2b24ecc,5b8b019ee2c0780001ae4591,APPROVED,Not Applicable,2024-06-28T19:30:44.125000Z,2024-06-28T19:57:42.427000Z,2024-07-19T00:04:09.568000Z,2024-06-28T19:58:21.062455Z,1619.0,C4F2Q1F2,180,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
667f0f6a9ca58c270024f1ac,5dee765531a7e0514a5a80b4,APPROVED,Not Applicable,2024-06-28T19:31:05.905000Z,2024-06-28T19:55:46.581000Z,2024-07-19T00:04:10.381000Z,2024-06-28T19:55:50.966224Z,1481.0,NOCODE,334,36,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,United Kingdom,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
667f0f6ce17fb5cf42902d8d,5d9420ad34cd1e0014ff3f35,APPROVED,Not Applicable,2024-06-28T19:31:10.704000Z,2024-06-28T20:09:21.165000Z,2024-07-19T00:04:11.474000Z,2024-06-28T20:09:21.853381Z,2291.0,C4F2Q1F2,309,31,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
667f0f6e9a841b2d5a75abc9,5ecf23d225c304197454646a,APPROVED,Not Applicable,2024-06-28T19:31:01.859000Z,2024-06-28T19:52:15.861000Z,2024-07-19T00:04:12.216000Z,2024-06-28T19:54:42.865609Z,1275.0,C4F2Q1F2,158,26,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
667f0f8b48b85088673743ff,65c2a7dea70e84a829dc7932,APPROVED,Not Applicable,2024-06-28T19:31:23.466000Z,2024-06-28T19:59:32.917000Z,2024-07-19T00:04:12.988000Z,2024-06-28T19:59:33.697536Z,1690.0,C4F2Q1F2,45,37,Male,Black,Cameroon,France,Cameroon,English,No,Full-Time
667f1010eb90e0b1c490301f,613b9322710788045dec87f5,APPROVED,Not Applicable,2024-06-28T19:34:13.029000Z,2024-06-28T19:55:12.380000Z,2024-07-19T00:04:13.720000Z,2024-06-28T19:55:31.356312Z,1260.0,C4F2Q1F2,239,27,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
