Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
644bf8e322609079c7b55ece,603cc7972aefd1a96a8141ff,APPROVED,2023-04-28T16:48:35.070000Z,2023-04-28T17:34:00.907000Z,2023-05-18T17:56:39.951000,2023-04-28T17:34:01.278810Z,2726,C4F2Q1F2,33,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
644bf8e537e7f44919440807,5d879fe7e9accc0018401d40,APPROVED,2023-04-28T16:48:37.781000Z,2023-04-28T17:19:37.356000Z,2023-05-18T17:56:40.124000,2023-04-28T17:20:01.764746Z,1860,C4F2Q1F2,242,28,Female,White,Greece,Greece,Greece,Greek,Yes,DATA_EXPIRED
644bf8f654bc00001d062b09,59f24a6f1f4f55000108a110,APPROVED,2023-04-28T16:49:13.487000Z,2023-04-28T17:21:29.292000Z,2023-05-18T17:56:40.271000,2023-04-28T17:21:47.490212Z,1936,C4F2Q1F2,69,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
644bf8fbbcee18f663703933,5ec3a1a6e0ceef2078de1799,APPROVED,2023-04-28T16:48:59.461000Z,2023-04-28T17:24:26.676000Z,2023-05-18T17:56:40.415000,2023-04-28T17:24:27.111912Z,2128,C4F2Q1F2,222,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
644bf9007445b729a49ac0a0,5e9205669b5ff052ff624e9d,APPROVED,2023-04-28T16:49:11.889000Z,2023-04-28T17:18:45.695000Z,2023-05-18T17:56:40.567000,2023-04-28T17:18:47.607704Z,1774,C4F2Q1F2,98,24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
644bf907030f16183bb06286,6043725293678f31ff8f8ae5,APPROVED,2023-04-28T16:49:16.357000Z,2023-04-28T17:17:19.769000Z,2023-05-18T17:56:40.741000,2023-04-28T17:17:20.155958Z,1684,C4F2Q1F2,212,20,Female,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
644bf9075ce02c0831aff392,5e821f14193c1992ef8c0486,APPROVED,2023-04-28T16:49:11.519000Z,2023-04-28T17:38:32.407000Z,2023-05-18T17:56:40.901000,2023-04-28T17:38:32.834552Z,2961,C4F2Q1F2,168,25,Male,White,Italy,Italy,Italy,Italian,No,Due to start a new job within the next month
644bf9190ffb3476390050f6,5fc0c7b73605db59cfd30666,APPROVED,2023-04-28T16:57:29.788000Z,2023-04-28T17:49:25.573000Z,2023-05-18T17:56:41.058000,2023-04-28T17:49:26.020837Z,3116,C4F2Q1F2,206,29,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
644bf91a3efc77ed7f4957fc,5f5aa6d5b8e6411a69e274d5,APPROVED,2023-04-28T16:49:45.123000Z,2023-04-28T17:17:27.841000Z,2023-05-18T17:56:41.215000,2023-04-28T17:17:28.255220Z,1663,C4F2Q1F2,220,25,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Part-Time
644bf91e6ba5727d3ccf5356,607e09fbd7c60ded8577281e,APPROVED,2023-04-28T16:49:34.127000Z,2023-04-28T17:18:18.674000Z,2023-05-18T17:56:41.361000,2023-04-28T17:18:21.710578Z,1725,C4F2Q1F2,420,31,Male,White,Italy,Italy,Italy,Italian,No,Part-Time
